Date,INTC,SMTC,AWSL,MU,AMAT,ASML,NVDA,TXN,QCOM,AMD
03-01-2000,0.102394719,-0.209243174,0.796859424,0.327092236,-0.276748908,-0.514996133,-0.474522828,-0.414071408,-0.305455097,-0.066229199
04-01-2000,0.109111904,-0.208341154,0.809678118,0.336040822,-0.278023079,-0.515054299,-0.474961923,-0.415233304,-0.311240123,-0.06495126
05-01-2000,0.116882439,-0.205125964,0.823122946,0.345006455,-0.278544045,-0.514974326,-0.475389387,-0.41576477,-0.315291163,-0.063552614
06-01-2000,0.12361707,-0.201556707,0.837142584,0.352342639,-0.278580816,-0.514837545,-0.475816112,-0.415807352,-0.318749242,-0.062579535
07-01-2000,0.129568072,-0.196883242,0.851672598,0.358047401,-0.278280872,-0.514614983,-0.476216261,-0.415115807,-0.320731117,-0.061962001
10-01-2000,0.134554029,-0.191563985,0.866658238,0.362755461,-0.277623853,-0.514361906,-0.476593281,-0.413623061,-0.322227044,-0.06157926
11-01-2000,0.139086845,-0.185448954,0.879659476,0.366380239,-0.276598475,-0.514106427,-0.476946444,-0.411195383,-0.323507057,-0.061479068
12-01-2000,0.14245004,-0.179169976,0.891543494,0.368876423,-0.275162447,-0.513828261,-0.477282752,-0.407886944,-0.324073778,-0.061649323
13-01-2000,0.144937098,-0.172329357,0.902793793,0.369949361,-0.273421152,-0.513542163,-0.477600546,-0.404040124,-0.323788549,-0.06209201
14-01-2000,0.146940298,-0.164549222,0.913694934,0.370002704,-0.271199214,-0.513253657,-0.477891757,-0.399339919,-0.323171681,-0.062675635
18-01-2000,0.148318672,-0.156837733,0.924418735,0.36967759,-0.268517034,-0.512985627,-0.478158807,-0.393887189,-0.322398474,-0.063387326
19-01-2000,0.149174127,-0.149188916,0.935070022,0.368762834,-0.26546715,-0.512742932,-0.47840501,-0.387759958,-0.321789197,-0.064126335
20-01-2000,0.149627522,-0.141852186,0.945711945,0.367172097,-0.262161253,-0.512533747,-0.478631771,-0.381179979,-0.321503514,-0.064906977
